2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.100.1 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.100.52 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.120.161 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.52 says 10.156.98.228 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.119.255 says 10.156.119.75 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.99.99 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.100.52 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.120.161 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: blocked | Protocol: TCP | Source: 10.156.96.66:58519 | Destination: 52.153.155.231:443 | Size: 54 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.99.99 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.103 says 10.156.121.209 / Padding | Size: 60 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.96.157 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.97.61 says 10.156.98.118 / Padding | Size: 512 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.124 says 10.156.98.118 / Padding | Size: 512 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.97.92 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / 10.156.100.1 > 224.0.0.22 2 / Raw | Size: 62 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.52 says 10.156.98.228 / Padding | Size: 60 bytes
2023-12-21 20:15:21 | Action: allowed | Packet Summary: Ether / ARP who has 169.254.255.255 says 10.156.114.33 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.105.185 says 10.156.105.185 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.119.255 says 10.156.119.75 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: blocked | Protocol: TCP | Source: 10.156.96.66:58583 | Destination: 13.107.21.239:443 | Size: 55 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.211 says 10.156.96.211 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Protocol: TCP | Source: 13.107.21.239:443 | Destination: 10.156.96.66:58583 | Size: 66 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.97.92 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.100.1 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.100.121 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.100.52 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.120.161 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.99.3 says 10.156.96.2 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.97.120 says 10.156.96.2 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.98.4 says 10.156.96.2 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.102.80 says 10.156.96.2 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.99.99 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 169.254.255.255 says 10.156.114.33 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / 10.156.96.157 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.100.121 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.100.4 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:22 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.111.149 says 10.156.96.3 / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.68.11 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.93.69 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.135 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.130 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.88.97 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.93.51 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.94.89 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.81 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.91.204 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.86.179 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.57 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.92.233 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.113 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.181 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.249 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.88.213 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.90.89 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.30 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.145 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.216 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.62 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.76.100 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.86.20 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.40 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.75.68 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.77.191 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.91.210 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.55 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.216 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.128 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.67.19 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.117 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.69 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.90.149 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.94.17 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.170 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.75.51 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.183 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.88.137 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.71.194 says 10.156.64.3 / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.236 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.76.229 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.165 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.93.142 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.41 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.254 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.86.208 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.92 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.43 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.90.167 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.68.46 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.87 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.167 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.81.175 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.94.96 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.141 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.54 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
